created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2026-03-20T01:34:34+01:00,1,32.03,57.60,32.40,32.50,31.20,1,0,,,,
2026-03-20T01:37:43+01:00,2,31.97,57.40,32.30,32.40,31.20,1,0,,,,
2026-03-20T01:39:45+01:00,3,32.13,61.40,32.50,32.50,31.40,1,0,,,,
2026-03-20T01:41:44+01:00,4,32.30,61.53,32.70,32.60,31.60,1,0,,,,
2026-03-20T01:43:44+01:00,5,32.43,61.43,32.90,32.70,31.70,1,0,,,,
2026-03-20T01:45:45+01:00,6,32.63,60.87,33.10,32.90,31.90,1,0,,,,
2026-03-20T01:47:45+01:00,7,32.73,60.60,33.20,33.00,32.00,1,0,,,,
2026-03-20T01:49:46+01:00,8,32.83,60.43,33.30,33.10,32.10,1,0,,,,
2026-03-20T01:51:46+01:00,9,32.93,59.97,33.40,33.20,32.20,1,0,,,,
2026-03-20T01:53:46+01:00,10,33.00,59.90,33.40,33.30,32.30,1,0,,,,
2026-03-20T01:55:47+01:00,11,33.03,59.80,33.50,33.30,32.30,1,0,,,,
2026-03-20T01:57:47+01:00,12,33.03,60.13,33.50,33.30,32.30,1,0,,,,
2026-03-20T01:59:48+01:00,13,33.03,59.73,33.50,33.30,32.30,1,0,,,,
2026-03-20T02:01:48+01:00,14,33.07,59.73,33.50,33.40,32.30,1,0,,,,
2026-03-20T02:03:48+01:00,15,33.13,59.70,33.60,33.40,32.40,1,0,,,,
2026-03-20T02:05:49+01:00,16,33.17,59.67,33.60,33.50,32.40,1,0,,,,
2026-03-20T02:07:49+01:00,17,33.17,59.57,33.60,33.50,32.40,1,0,,,,
2026-03-20T02:09:49+01:00,18,33.17,59.57,33.60,33.50,32.40,1,0,,,,
2026-03-20T02:11:49+01:00,19,33.17,59.57,33.60,33.50,32.40,1,0,,,,
2026-03-20T02:13:50+01:00,20,33.17,59.57,33.60,33.50,32.40,1,0,,,,
2026-03-20T02:22:26+01:00,21,32.37,58.27,32.70,32.90,31.50,1,0,,,,
2026-03-20T02:24:26+01:00,22,32.77,60.27,33.20,33.10,32.00,1,0,,,,
2026-03-20T02:26:26+01:00,23,32.93,59.73,33.40,33.20,32.20,1,0,,,,
2026-03-20T02:28:27+01:00,24,33.03,59.60,33.50,33.30,32.30,1,0,,,,
2026-03-20T02:30:27+01:00,25,33.10,59.53,33.60,33.40,32.30,1,0,,,,
2026-03-20T02:32:28+01:00,26,33.17,59.43,33.70,33.40,32.40,1,0,,,,
2026-03-20T02:34:28+01:00,27,33.20,59.37,33.70,33.50,32.40,1,0,,,,
2026-03-20T02:38:29+01:00,28,33.37,58.90,33.90,33.60,32.60,1,0,,,,
2026-03-20T02:40:29+01:00,29,33.37,58.87,33.90,33.60,32.60,1,0,,,,
2026-03-20T02:42:29+01:00,30,33.47,59.17,34.00,33.70,32.70,1,0,,,,
2026-03-20T02:44:30+01:00,31,33.47,58.77,34.00,33.70,32.70,1,0,,,,
2026-03-20T02:46:30+01:00,32,33.47,58.77,34.00,33.70,32.70,1,0,,,,
2026-03-20T02:48:31+01:00,33,33.50,58.63,34.00,33.80,32.70,1,0,,,,
2026-03-20T02:50:31+01:00,34,33.50,58.63,34.00,33.80,32.70,1,0,,,,
2026-03-20T02:52:31+01:00,35,33.53,58.63,34.00,33.80,32.80,1,0,,,,
2026-03-20T02:54:32+01:00,36,33.53,58.63,34.00,33.80,32.80,1,0,,,,
2026-03-20T02:56:32+01:00,37,33.53,58.63,34.00,33.80,32.80,1,0,,,,
2026-03-20T02:58:33+01:00,38,33.53,58.63,34.00,33.80,32.80,1,0,,,,
2026-03-20T03:00:33+01:00,39,33.57,58.67,34.00,33.90,32.80,1,0,,,,
2026-03-20T03:02:33+01:00,40,33.53,58.60,34.00,33.80,32.80,1,0,,,,
2026-03-20T03:04:35+01:00,41,33.53,58.57,34.00,33.80,32.80,1,0,,,,
2026-03-20T03:06:35+01:00,42,33.53,58.57,34.00,33.80,32.80,1,0,,,,
2026-03-20T03:08:35+01:00,43,33.53,58.63,34.00,33.80,32.80,1,0,,,,
2026-03-20T03:10:36+01:00,44,33.50,59.50,34.00,33.80,32.70,1,0,,,,
2026-03-20T03:12:36+01:00,45,33.40,60.23,33.90,33.70,32.60,1,0,,,,
2026-03-20T03:14:37+01:00,46,33.43,60.27,33.90,33.70,32.70,1,0,,,,
2026-03-20T03:16:37+01:00,47,33.40,59.67,33.90,33.70,32.60,1,0,,,,
2026-03-20T03:18:37+01:00,48,33.37,59.70,33.80,33.70,32.60,1,0,,,,
2026-03-20T03:20:37+01:00,49,33.33,59.70,33.80,33.60,32.60,1,0,,,,
2026-03-20T03:22:37+01:00,50,33.30,59.77,33.80,33.60,32.50,1,0,,,,
2026-03-20T03:24:38+01:00,51,33.27,59.87,33.70,33.60,32.50,1,0,,,,
2026-03-20T03:26:38+01:00,52,33.23,60.00,33.60,33.60,32.50,1,0,,,,
2026-03-20T03:28:38+01:00,53,33.23,60.07,33.60,33.60,32.50,1,0,,,,
2026-03-20T03:30:38+01:00,54,33.23,60.47,33.60,33.60,32.50,1,0,,,,
2026-03-20T03:32:38+01:00,55,33.23,60.50,33.60,33.60,32.50,1,0,,,,
2026-03-20T03:34:38+01:00,56,33.23,60.50,33.60,33.60,32.50,1,0,,,,
2026-03-20T03:36:38+01:00,57,33.23,60.50,33.60,33.60,32.50,1,0,,,,
